col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,eval
7,3,4,5,4,3,4,6,8,0,-1.67
7,3,4,5,4,5,6,6,8,0,13.07
7,6,5,5,4,5,6,6,8,0,32.39
7,6,5,5,4,5,8,8,8,0,31.26
7,6,6,6,6,5,8,8,8,0,35.1
8,8,7,6,6,5,8,8,8,0,33.18
4,4,3,2,2,1,4,4,4,0,27.6
4,4,3,2,4,3,4,4,4,0,30.68
4,4,4,5,4,3,4,4,4,0,33.26
6,6,4,5,4,3,4,4,4,0,31.02
6,6,6,7,4,3,4,4,4,0,31.4
6,6,6,7,6,5,4,4,4,0,38.67
8,8,6,7,6,5,4,4,4,0,37.13
8,8,6,7,6,5,5,6,5,0,36.87
8,8,6,7,7,7,6,6,5,0,36.77
8,8,6,7,7,7,6,8,7,0,34.72
4,4,2,3,3,3,2,4,3,0,27.21
4,4,2,3,4,4,4,4,3,0,30.96
8,4,2,3,4,4,4,4,3,0,29.7
8,4,2,3,4,4,5,5,5,0,28.9
8,8,2,3,4,4,5,5,5,0,25.28
8,8,2,3,5,6,6,5,5,0,20.4
8,8,2,3,5,6,6,6,8,0,5.89
8,8,6,3,5,6,6,6,8,0,0.8
10,10,6,3,5,6,6,6,8,0,-1.79
0,0,0,0,0,0,0,0,0,0,19.2
0,0,1,1,1,1,0,0,0,0,32.47
1,2,2,1,1,1,0,0,0,0,32.16
5,2,2,1,1,1,0,0,0,0,30.84
5,2,2,1,1,2,2,1,0,0,30.28
5,2,2,1,1,2,2,1,4,0,30.54
5,5,3,1,1,2,2,1,4,0,27.6
5,5,3,1,1,2,3,4,4,0,28.75
5,5,3,5,1,2,3,4,4,0,13.34
5,5,3,5,4,3,3,4,4,0,29
5,5,3,5,4,4,5,5,4,0,28.17
5,5,3,5,6,6,5,5,4,0,22.58
5,5,3,5,6,7,7,6,4,0,10.86
5,5,3,5,8,9,7,6,4,0,-4.17
5,5,3,5,11,10,7,6,4,0,-54.83
5,5,6,6,11,10,7,6,4,0,0.25
7,7,6,6,11,10,7,6,4,0,7.67
3,3,2,2,7,6,3,2,0,0,3.67
3,3,4,4,7,6,3,2,0,0,4.65
3,3,4,4,7,6,3,3,3,0,20.11
3,3,4,4,7,6,4,5,4,0,14.2
7,3,4,4,7,6,4,5,4,0,9.71
