col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,eval
2,2,2,1,3,3,3,5,3,0,18.64
2,2,3,4,3,3,3,5,3,0,23.84
2,4,5,4,3,3,3,5,3,0,16.34
2,4,5,4,4,4,5,5,3,0,17.53
2,4,5,4,6,6,5,5,3,0,8.81
2,4,7,6,6,6,5,5,3,0,7.15
2,4,7,6,6,7,7,6,3,0,-2.92
6,4,7,6,6,7,7,6,3,0,2.19
6,4,7,8,8,7,7,6,3,0,-3.16
6,4,7,8,10,9,7,6,3,0,-22.53
6,4,7,8,10,9,7,6,6,5,-3.14
6,4,7,8,10,9,9,8,6,5,-14.82
5,7,6,7,9,8,8,7,5,0,18.77
8,8,6,7,9,8,8,7,5,0,27.65
8,8,6,7,9,9,11,7,5,0,17.01
8,8,8,9,9,9,11,7,5,0,22.76
9,10,9,9,9,9,11,7,5,0,19.47
9,10,11,10,10,9,11,7,5,0,20.85
9,10,11,10,12,11,11,7,5,0,14.5
9,10,11,13,13,11,11,7,5,0,3.57
9,10,11,13,13,11,11,8,8,0,17.1
9,10,11,13,13,11,11,11,9,0,24.1
12,11,11,13,13,11,11,11,9,0,36.27
8,7,7,9,9,7,7,7,5,0,27.03
8,8,10,9,9,7,7,7,5,0,20.63
10,10,10,9,9,7,7,7,5,0,28.28
10,10,10,9,9,7,7,8,8,0,38.66
10,10,11,11,10,7,7,8,8,0,31.64
10,10,11,12,13,7,7,8,8,0,23.47
6,6,7,8,9,3,3,4,4,0,18.92
6,6,10,9,9,3,3,4,4,0,7.68
8,8,10,9,9,3,3,4,4,0,16.54
8,8,10,9,9,6,4,4,4,0,24.74
4,4,6,5,5,2,0,0,0,0,17.22
4,4,6,5,5,2,0,1,3,0,17.37
4,4,6,5,5,2,2,3,3,0,23.46
4,4,6,5,5,6,2,3,3,0,22.79
5,7,6,5,5,6,2,3,3,0,18.5
5,7,6,7,7,6,2,3,3,0,10.18
8,8,6,7,7,6,2,3,3,0,15.53
8,8,8,9,7,6,2,3,3,0,16.63
8,8,8,9,7,6,4,4,4,0,32.64
8,8,8,9,9,8,4,4,4,0,28.36
8,8,8,9,9,8,7,5,4,0,32.96
8,8,8,9,9,8,7,7,6,0,37.31
8,8,8,9,9,8,7,8,9,0,36.03
8,8,8,9,9,8,9,10,9,0,35.72
10,10,8,9,9,8,9,10,9,0,33.48
10,10,8,9,10,10,10,10,9,0,38.53
10,10,8,9,10,10,10,12,11,0,27.27
12,12,8,9,10,10,10,12,11,0,27.51
8,8,4,5,6,6,6,8,7,0,30.01
8,8,4,5,8,7,7,8,7,0,26.13
8,8,6,7,8,7,7,8,7,0,36.7
8,8,9,8,8,7,7,8,7,0,38.68
9,10,10,8,8,7,7,8,7,0,35.76
5,6,6,4,4,3,3,4,3,0,28.06
5,6,6,4,4,3,3,6,5,0,23.28
5,6,6,4,4,5,5,6,5,0,33.89
5,6,6,5,7,5,5,6,5,0,31.15
7,8,6,5,7,5,5,6,5,0,29.16
7,8,6,5,7,7,7,6,5,0,27.61
7,8,6,5,8,8,9,6,5,0,10.62
3,4,2,1,4,4,5,2,1,0,3.73
3,4,3,4,4,4,5,2,1,0,14.66
3,4,5,6,4,4,5,2,1,0,13.21
3,4,5,6,4,4,5,4,3,0,17
5,6,5,6,4,4,5,4,3,0,17.28
5,6,5,6,4,4,5,5,6,0,30.91
5,6,5,6,5,6,6,5,6,0,21.44
5,6,5,8,7,6,6,5,6,0,18.35
5,6,5,8,7,6,6,7,8,0,18.09
5,6,5,8,8,8,7,7,8,0,16.05
5,6,5,8,8,8,10,8,8,0,5.07
5,7,8,8,8,8,10,8,8,0,9.79
1,3,4,7,8,8,8,8,7,0,-11.75
1,3,4,10,9,8,8,8,7,0,-18.7
1,3,4,10,9,8,8,8,8,8,-59.3
1,3,4,10,9,9,9,10,8,8,-85.72
1,3,4,10,9,11,11,10,8,8,-170.67
5,3,4,10,9,11,11,10,8,8,-54.22
5,5,6,10,9,11,11,10,8,8,-44.08
6,6,5,9,8,10,10,9,7,7,-23.07
5,6,7,8,7,9,9,8,6,6,-2.01
